transaction_id,customer_id,product_id,quantity,unit_price,total_amount,date,store_type,payment_method,year,month,month_name,day_of_week,cost_price,profit,profit_margin
T00001,C0297,P028,5,325.78,1628.9,2025-06-02,In-Store,Cash,2025,6,June,Monday,189.84,679.7,41.73
T00002,C0922,P001,1,321.52,321.52,2025-04-22,Online,Apple Pay,2025,4,April,Tuesday,131.02,190.5,59.25
T00003,C0941,P005,1,213.85,213.85,2025-10-26,In-Store,Debit Card,2025,10,October,Sunday,87.45,126.4,59.11
T00004,C0719,P004,2,446.63,893.26,2025-08-25,Online,Debit Card,2025,8,August,Monday,190.3,512.66,57.39
T00005,C0729,P027,3,137.15,411.45,2025-04-07,Online,Apple Pay,2025,4,April,Monday,93.4,131.25,31.9
T00006,C0502,P018,2,192.37,384.74,2026-01-18,In-Store,Apple Pay,2026,1,January,Sunday,108.81,167.12,43.44
T00007,C0385,P021,4,353.76,1415.04,2025-11-28,Online,Credit Card,2025,11,November,Friday,146.37,829.56,58.62
T00008,C0413,P011,5,403.88,2019.4,2025-02-26,In-Store,PayPal,2025,2,February,Wednesday,246.14,788.7,39.06
T00009,C0466,P018,4,192.37,769.48,2026-01-24,In-Store,Cash,2026,1,January,Saturday,108.81,334.24,43.44
T00010,C0003,P017,1,270.43,270.43,2026-05-25,In-Store,PayPal,2026,5,May,Monday,187.12,83.31,30.81
T00011,C0871,P007,1,18.14,18.14,2024-12-09,In-Store,Debit Card,2024,12,December,Monday,8.34,9.8,54.02
T00012,C0992,P009,4,114.12,456.48,2024-08-30,Online,Apple Pay,2024,8,August,Friday,65.82,193.2,42.32
T00013,C0275,P018,3,192.37,577.11,2026-03-22,In-Store,PayPal,2026,3,March,Sunday,108.81,250.68,43.44
T00014,C0561,P013,5,478.82,2394.1,2025-10-24,Online,Cash,2025,10,October,Friday,239.88,1194.7,49.9
T00015,C0873,P009,4,114.12,456.48,2026-01-29,In-Store,Credit Card,2026,1,January,Thursday,65.82,193.2,42.32
T00016,C0048,P024,1,55.0,55.0,2025-04-19,In-Store,Credit Card,2025,4,April,Saturday,26.59,28.41,51.65
T00017,C0128,P006,2,113.23,226.46,2025-07-14,In-Store,Apple Pay,2025,7,July,Monday,62.46,101.54,44.84
T00018,C0001,P014,4,50.91,203.64,2024-12-06,Online,Debit Card,2024,12,December,Friday,21.84,116.28,57.1
T00019,C0904,P006,3,113.23,339.69,2026-04-12,Online,PayPal,2026,4,April,Sunday,62.46,152.31,44.84
T00020,C0096,P013,3,478.82,1436.46,2024-07-23,In-Store,Credit Card,2024,7,July,Tuesday,239.88,716.82,49.9
T00021,C0381,P023,2,44.5,89.0,2025-04-20,Online,Apple Pay,2025,4,April,Sunday,20.91,47.18,53.01
T00022,C0641,P019,3,415.56,1246.68,2024-11-29,Online,Apple Pay,2024,11,November,Friday,243.33,516.69,41.45
T00023,C0672,P015,1,424.51,424.51,2024-07-05,Online,Credit Card,2024,7,July,Friday,246.69,177.82,41.89
T00024,C0219,P021,4,353.76,1415.04,2025-04-24,Online,Debit Card,2025,4,April,Thursday,146.37,829.56,58.62
T00025,C0608,P013,2,478.82,957.64,2025-02-17,In-Store,Credit Card,2025,2,February,Monday,239.88,477.88,49.9
T00026,C0009,P011,3,403.88,1211.64,2026-06-14,Online,Apple Pay,2026,6,June,Sunday,246.14,473.22,39.06
T00027,C0711,P004,2,446.63,893.26,2025-06-30,In-Store,Credit Card,2025,6,June,Monday,190.3,512.66,57.39
T00028,C0235,P005,4,213.85,855.4,2025-02-19,Online,Credit Card,2025,2,February,Wednesday,87.45,505.6,59.11
T00029,C0106,P009,3,114.12,342.36,2025-10-21,In-Store,PayPal,2025,10,October,Tuesday,65.82,144.9,42.32
T00030,C0141,P014,4,50.91,203.64,2024-12-28,Online,Debit Card,2024,12,December,Saturday,21.84,116.28,57.1
T00031,C0071,P013,5,478.82,2394.1,2025-01-31,Online,Cash,2025,1,January,Friday,239.88,1194.7,49.9
T00032,C0666,P016,2,404.53,809.06,2026-05-01,In-Store,PayPal,2026,5,May,Friday,250.37,308.32,38.11
T00033,C0740,P027,2,137.15,274.3,2024-11-26,Online,Apple Pay,2024,11,November,Tuesday,93.4,87.5,31.9
T00034,C0631,P023,4,44.5,178.0,2025-03-20,Online,Credit Card,2025,3,March,Thursday,20.91,94.36,53.01
T00035,C0919,P007,1,18.14,18.14,2026-01-21,Online,Credit Card,2026,1,January,Wednesday,8.34,9.8,54.02
T00036,C0604,P027,4,137.15,548.6,2026-02-08,In-Store,Apple Pay,2026,2,February,Sunday,93.4,175.0,31.9
T00037,C0323,P022,2,117.81,235.62,2025-12-15,Online,PayPal,2025,12,December,Monday,57.35,120.92,51.32
T00038,C0661,P017,1,270.43,270.43,2024-09-23,Online,Cash,2024,9,September,Monday,187.12,83.31,30.81
T00039,C0616,P023,5,44.5,222.5,2024-06-30,In-Store,Credit Card,2024,6,June,Sunday,20.91,117.95,53.01
T00040,C0869,P029,3,89.71,269.13,2024-07-01,Online,Cash,2024,7,July,Monday,55.51,102.6,38.12
T00041,C0622,P007,5,18.14,90.7,2024-06-17,Online,Apple Pay,2024,6,June,Monday,8.34,49.0,54.02
T00042,C0303,P013,1,478.82,478.82,2025-02-25,Online,Apple Pay,2025,2,February,Tuesday,239.88,238.94,49.9
T00043,C0396,P030,1,85.88,85.88,2026-01-12,Online,Apple Pay,2026,1,January,Monday,44.13,41.75,48.61
T00044,C0654,P004,5,446.63,2233.15,2024-06-20,Online,Cash,2024,6,June,Thursday,190.3,1281.65,57.39
T00045,C0911,P004,1,446.63,446.63,2024-11-08,In-Store,PayPal,2024,11,November,Friday,190.3,256.33,57.39
T00046,C0136,P022,4,117.81,471.24,2026-01-09,In-Store,PayPal,2026,1,January,Friday,57.35,241.84,51.32
T00047,C0560,P017,2,270.43,540.86,2025-03-03,In-Store,Credit Card,2025,3,March,Monday,187.12,166.62,30.81
T00048,C0018,P028,5,325.78,1628.9,2025-01-04,Online,Credit Card,2025,1,January,Saturday,189.84,679.7,41.73
T00049,C0269,P003,2,369.55,739.1,2025-01-29,Online,Credit Card,2025,1,January,Wednesday,222.84,293.42,39.7
T00050,C0972,P009,4,114.12,456.48,2025-09-09,In-Store,Cash,2025,9,September,Tuesday,65.82,193.2,42.32
T00051,C0786,P018,4,192.37,769.48,2025-01-30,In-Store,Apple Pay,2025,1,January,Thursday,108.81,334.24,43.44
T00052,C0085,P022,5,117.81,589.05,2025-03-25,Online,PayPal,2025,3,March,Tuesday,57.35,302.3,51.32
T00053,C0086,P028,3,325.78,977.34,2025-04-28,Online,Cash,2025,4,April,Monday,189.84,407.82,41.73
T00054,C0944,P018,2,192.37,384.74,2024-08-21,Online,Cash,2024,8,August,Wednesday,108.81,167.12,43.44
T00055,C0335,P023,4,44.5,178.0,2026-06-10,Online,PayPal,2026,6,June,Wednesday,20.91,94.36,53.01
T00056,C0716,P010,4,405.67,1622.68,2026-04-16,Online,Credit Card,2026,4,April,Thursday,163.06,970.44,59.8
T00057,C0251,P012,1,173.42,173.42,2026-04-15,In-Store,Credit Card,2026,4,April,Wednesday,77.46,95.96,55.33
T00058,C0465,P026,5,188.24,941.2,2024-07-25,Online,PayPal,2024,7,July,Thursday,87.13,505.55,53.71
