transaction_id,customer_id,product_id,quantity,unit_price,total_amount,date,store_type,payment_method
T00001,C0297,P028,5,325.78,1628.9,2025-06-02,In-Store,Cash
T00002,C0922,P001,1,321.52,321.52,2025-04-22,Online,Apple Pay
T00003,C0941,P005,1,213.85,213.85,2025-10-26,In-Store,Debit Card
T00004,C0719,P004,2,446.63,893.26,2025-08-25,Online,Debit Card
T00005,C0729,P027,3,137.15,411.45,2025-04-07,Online,Apple Pay
T00006,C0502,P018,2,192.37,384.74,2026-01-18,In-Store,Apple Pay
T00007,C0385,P021,4,353.76,1415.04,2025-11-28,Online,Credit Card
T00008,C0413,P011,5,403.88,2019.4,2025-02-26,In-Store,PayPal
T00009,C0466,P018,4,192.37,769.48,2026-01-24,In-Store,Cash
T00010,C0003,P017,1,270.43,270.43,2026-05-25,In-Store,PayPal
T00011,C0871,P007,1,18.14,18.14,2024-12-09,In-Store,Debit Card
T00012,C0992,P009,4,114.12,456.48,2024-08-30,Online,Apple Pay
T00013,C0275,P018,3,192.37,577.11,2026-03-22,In-Store,PayPal
T00014,C0561,P013,5,478.82,2394.1,2025-10-24,Online,Cash
T00015,C0873,P009,4,114.12,456.48,2026-01-29,In-Store,Credit Card
T00016,C0048,P024,1,55.0,55.0,2025-04-19,In-Store,Credit Card
T00017,C0128,P006,2,113.23,226.46,2025-07-14,In-Store,Apple Pay
T00018,C0001,P014,4,50.91,203.64,2024-12-06,Online,Debit Card
T00019,C0904,P006,3,113.23,339.69,2026-04-12,Online,PayPal
T00020,C0096,P013,3,478.82,1436.46,2024-07-23,In-Store,Credit Card
T00021,C0381,P023,2,44.5,89.0,2025-04-20,Online,Apple Pay
T00022,C0641,P019,3,415.56,1246.68,2024-11-29,Online,Apple Pay
T00023,C0672,P015,1,424.51,424.51,2024-07-05,Online,Credit Card
T00024,C0219,P021,4,353.76,1415.04,2025-04-24,Online,Debit Card
T00025,C0608,P013,2,478.82,957.64,2025-02-17,In-Store,Credit Card
T00026,C0009,P011,3,403.88,1211.64,2026-06-14,Online,Apple Pay
T00027,C0711,P004,2,446.63,893.26,2025-06-30,In-Store,Credit Card
T00028,C0235,P005,4,213.85,855.4,2025-02-19,Online,Credit Card
T00029,C0106,P009,3,114.12,342.36,2025-10-21,In-Store,PayPal
T00030,C0141,P014,4,50.91,203.64,2024-12-28,Online,Debit Card
T00031,C0071,P013,5,478.82,2394.1,2025-01-31,Online,Cash
T00032,C0666,P016,2,404.53,809.06,2026-05-01,In-Store,PayPal
T00033,C0740,P027,2,137.15,274.3,2024-11-26,Online,Apple Pay
T00034,C0631,P023,4,44.5,178.0,2025-03-20,Online,Credit Card
T00035,C0919,P007,1,18.14,18.14,2026-01-21,Online,Credit Card
T00036,C0604,P027,4,137.15,548.6,2026-02-08,In-Store,Apple Pay
T00037,C0323,P022,2,117.81,235.62,2025-12-15,Online,PayPal
T00038,C0661,P017,1,270.43,270.43,2024-09-23,Online,Cash
T00039,C0616,P023,5,44.5,222.5,2024-06-30,In-Store,Credit Card
T00040,C0869,P029,3,89.71,269.13,2024-07-01,Online,Cash
T00041,C0622,P007,5,18.14,90.7,2024-06-17,Online,Apple Pay
T00042,C0303,P013,1,478.82,478.82,2025-02-25,Online,Apple Pay
T00043,C0396,P030,1,85.88,85.88,2026-01-12,Online,Apple Pay
T00044,C0654,P004,5,446.63,2233.15,2024-06-20,Online,Cash
T00045,C0911,P004,1,446.63,446.63,2024-11-08,In-Store,PayPal
T00046,C0136,P022,4,117.81,471.24,2026-01-09,In-Store,PayPal
T00047,C0560,P017,2,270.43,540.86,2025-03-03,In-Store,Credit Card
T00048,C0018,P028,5,325.78,1628.9,2025-01-04,Online,Credit Card
T00049,C0269,P003,2,369.55,739.1,2025-01-29,Online,Credit Card
T00050,C0972,P009,4,114.12,456.48,2025-09-09,In-Store,Cash
T00051,C0786,P018,4,192.37,769.48,2025-01-30,In-Store,Apple Pay
T00052,C0085,P022,5,117.81,589.05,2025-03-25,Online,PayPal
T00053,C0086,P028,3,325.78,977.34,2025-04-28,Online,Cash
T00054,C0944,P018,2,192.37,384.74,2024-08-21,Online,Cash
T00055,C0335,P023,4,44.5,178.0,2026-06-10,Online,PayPal
T00056,C0716,P010,4,405.67,1622.68,2026-04-16,Online,Credit Card
T00057,C0251,P012,1,173.42,173.42,2026-04-15,In-Store,Credit Card
T00058,C0465,P026,5,188.24,941.2,2024-07-25,Online,PayPal
T00059,C0683,P020,2,431.54,863.08,2026-04-22,Online,Credit Card
T00060,C0725,P015,2,424.51,849.02,2025-05-11,Online,Debit Card
T00061,C0509,P001,3,321.52,964.56,2025-05-31,In-Store,Debit Card
T00062,C0381,P025,2,319.66,639.32,2025-05-19,In-Store,Credit Card
T00063,C0790,P010,1,405.67,405.67,2025-03-23,In-Store,Apple Pay
T00064,C0279,P010,5,405.67,2028.35,2024-08-12,Online,PayPal
T00065,C0730,P027,5,137.15,685.75,2024-08-31,Online,Apple Pay
T00066,C0467,P016,5,404.53,2022.65,2025-10-18,In-Store,Credit Card
T00067,C0512,P005,5,213.85,1069.25,2024-08-11,Online,PayPal
T00068,C0162,P028,3,325.78,977.34,2025-11-28,Online,Cash
T00069,C0691,P011,1,403.88,403.88,2024-07-11,Online,Cash
